id;numvoie;typevoie;libvoie;cp;commune
PC07228721Z2108-0;158;ROUTE;DES AUGERAIES;72220;SAINT GERVAIS EN BELIN
PC07228721Z2108-2;158;;ROUTE DES AUGERAIES;72220;SAINT GERVAIS EN BELIN
PC07228721Z2110-0;2;RUE;DES LILAS;72000;LE MANS
PC07228721Z2110-2;62;;ROUTE DU PLESSIS;72220;SAINT GERVAIS EN BELIN
PC07228921Z0010-0;13;RUE;de St Ouen;72650;LA MILESSE
PC07228921Z0010-2;27bis;RUE;de verdun;72380;SAINTE JAMME SUR SARTHE
PC07228921Z0011-2;;RUE;LA GROIE - LOTISSEMENT 34;72380;SAINTE JAMME SUR SARTHE
PC07228921Z0013-0;;;PAR MME MONIQUE VEAU, 12 B;72380;SAINTE JAMME SUR SARTHE
PC07228921Z0013-2;;;ANTOIGNE;72380;SAINTE JAMME SUR SARTHE
PC07228921Z0015-0;19;RUE;du panorama;72380;SAINT JEAN D'ASSE
PC07228921Z0015-2;;;LA GROIE - LOTISSEMENT 34;72380;SAINTE JAMME SUR SARTHE
PC07228921Z0016-0;;;Les Feltières;72380;SAINT JEAN D'ASSÉ
PC07228921Z0016-2;3;RUE;Des bégonias;72380;SAINTE JAMME SUR SARTHE
PC07229021Z1839-0;;;LA GRANDE GEMERIE;72380;SAINT JEAN D'ASSE
PC07229021Z1839-2;;;LA GRANDE GEMERIE;72380;SAINT JEAN D'ASSE
PC07229021Z1845-0;1;RUE;DE LA CROIX BLANCHE;72380;SAINT JEAN D'ASSE
PC07229021Z1845-2;;;LA CROIX VALLIENNE;72380;SAINT JEAN D'ASSE
PC07229021Z1846-0;;;LE CHAMPS DU CARREFOUR;72380;SAINT JEAN D'ASSE
PC07229021Z1846-2;;;CHAMP DU CARREFOUR;72380;SAINT JEAN D'ASSE
PC07229421Z000201-0;;;8 RUE DU GASSEAU;72130;SAINT LEONARD DES BOIS
