id;numvoie;typevoie;libvoie;cp;commune;result_housenumber;result_name;result_postcode;result_city;latitude;longitude;result_score
DP07209021Z0020-0;24;RUE;LEDRU ROLLIN;72160;CONNERRE;24;Rue Ledru Rollin;72160;Connerré;48.056941;0.495726;0.96
DP07209021Z0020-2;24;;RUE LEDRU ROLLIN;72160;CONNERRE;24;Rue Ledru Rollin;72160;Connerré;48.056941;0.495726;0.96
DP07209021Z0021-0;;;LA TAILLE;72160;CONNERRE;;Ruelle de la Taille;72160;Connerré;48.053689;0.499133;0.61
DP07209021Z0021-2;;;LA TAILLE;72160;CONNERRE;;Ruelle de la Taille;72160;Connerré;48.053689;0.499133;0.61
DP07209021Z0022-0;;;110 route DES LANDES;72160;CONNERRE;110;Route des Landes;72160;Connerré;48.057216;0.475729;0.96
DP07209021Z0022-2;110;;ROUTE DES LANDES;72160;CONNERRE;110;Route des Landes;72160;Connerré;48.057216;0.475729;0.96
DP07209021Z0023-0;9;IMPAS;HELENE BOUCHER;;CONNERRE;9;Impasse Hélène Boucher;72160;Connerré;48.058977;0.484947;0.84
DP07209021Z0023-2;7;;RUE HELENE BOUCHER;72160;CONNERRE;7;Rue Helene Boucher;72160;Connerré;48.059428;0.4865;0.95
DP07209021Z0024-0;;;LE ROCHER;72370;SOULITRE;;Le Rocher;72370;Soulitré;48.020775;0.45637;0.94
DP07209021Z0024-2;34 TE;RUE;RUE DE PARIS;72160;CONNERRE;34;Rue de Paris;72160;Connerré;48.06062;0.496234;0.75
DP07209021Z0025-0;;;1 rue LOUISE MICHEL;72160;CONNERRE;1;Rue Louise Michel;72160;Connerré;48.055419;0.487006;0.95
DP07209021Z0025-2;1;;RUE LOUISE MICHEL;72160;CONNERRE;1;Rue Louise Michel;72160;Connerré;48.055419;0.487006;0.95
DP07209021Z0026-0;2/4;RUE;DE PARIS / RUE MICHEL BEAU;72160;CONNERRE;;;;;;;
DP07209021Z0026-1;101;RUE;ANTOINE BOURDELLE;28630;LE COUDRAY;;Rue Antoine Bourdelle;28630;Le Coudray;48.417129;1.489682;0.84
DP07209021Z0026-2;2/4;;RUE DE PARIS/ RUE MICHEL B;72160;CONNERRE;;;;;;;
DP07209421Z0012-0;;LIEU-;LA VASSOLERIE;72440;COUDRECIEUX;;La Petite Vassollerie;72440;Coudrecieux;47.978099;0.594469;0.62
DP07209421Z0012-2;;;LA VASSOLLERIE;72440;COUDRECIEUX;;La Petite Vassollerie;72440;Coudrecieux;47.978099;0.594469;0.74
DP07209421Z0013-0;;LIEU-;LA VASSOLERIE;72440;COUDRECIEUX;;La Petite Vassollerie;72440;Coudrecieux;47.978099;0.594469;0.62
DP07209421Z0013-2;;LIEU-;LA VASSOLLERIE;72440;COUDRECIEUX;;La Petite Vassollerie;72440;Coudrecieux;47.978099;0.594469;0.64
DP07209421Z0017-0;71;RUE;PRINCIPALE;72440;COUDRECIEUX;71;Rue Principale;72440;Coudrecieux;47.992482;0.625335;0.95
DP07209421Z0017-2;0071;;RUE PRINCIPALE;72440;COUDRECIEUX;71;Rue Principale;72440;Coudrecieux;47.992482;0.625335;0.89
DP07209921Z0004-0;10;RUE;DU CHAMP JACQUET;72290;COURCEBOEUFS;10;Rue du Champ Jacquet;72290;Courcebœufs;48.134479;0.284148;0.94
DP07209921Z0004-1;10;RUE;DU CHAMP JACQUET;72290;COURCEBOEUFS;10;Rue du Champ Jacquet;72290;Courcebœufs;48.134479;0.284148;0.94
DP07209921Z0004-2;10;RUE;DU CHAMP JACQUET;72290;COURCEBOEUFS;10;Rue du Champ Jacquet;72290;Courcebœufs;48.134479;0.284148;0.94
DP07211321Z0018-0;;LIEU-;LA FONTAINE;72550;Degré;;Lieu Dit la Fontaine;72550;Degré;48.053453;0.075259;0.79
DP07211321Z0020-0;;LIEU-;La Chevallerie;72550;Degré;;Lieu Dit la Chevalerie;72550;Degré;48.040074;0.088391;0.78
DP07211321Z0020-2;;;LA CHEVALLERIE;72550;DEGRE;;Lieu Dit la Chevalerie;72550;Degré;48.040074;0.088391;0.61
DP07211321Z0021-0;;;Le Haut Parillé;72290;Mézières sur Ponthouin;;Le Haut Parille;72290;Mézières-sur-Ponthouin;48.228988;0.295378;0.94
DP07211321Z0021-1;6;RUE;des Nymphéas;72550;Degré;6;Rue des Nymphéas;72550;Degré;48.048502;0.071347;0.95
DP07211321Z0021-2;6;RUE;des Nymphéas;72550;DEGRE;6;Rue des Nymphéas;72550;Degré;48.048502;0.071347;0.95
DP07211920Z0286-0;;LIEU-;LA PICHONNIÈRE;72240;DOMFRONT-EN-CHAMPAGNE;;La Bretonniere;72240;Domfront-en-Champagne;48.120129;0.060426;0.64
DP07211920Z0286-2;33;;RUE DU MANS;72240;DOMFRONT EN CHAMPAGNE;33;Rue du Mans;72240;Domfront-en-Champagne;48.104919;0.028084;0.95
DP07211921Z0309-0;;;7 rue DE LA FONTAINE;72240;NEUVILLALAIS;7;Rue de la Fontaine;72240;Neuvillalais;48.156898;-0.002906;0.94
DP07211921Z0309-2;;;LA PETITE LUCAZIERE;72240;DOMFRONT EN CHAMPAGNE;;La Poterie;72240;Domfront-en-Champagne;48.10069;0.043528;0.62
DP07211921Z0311-0;6;RUE;DE LAVARDIN;72240;DOMFRONT-EN-CHAMPAGNE;6;Rue de Lavardin;72240;Domfront-en-Champagne;48.104187;0.029509;0.95
DP07211921Z0311-2;6;RUE;DE LAVARDIN;72240;DOMFRONT EN CHAMPAGNE;6;Rue de Lavardin;72240;Domfront-en-Champagne;48.104187;0.029509;0.95
DP07211921Z0313-0;;;7 rue DE CURES;72240;DOMFRONT EN CHAMPAGNE;7;Rue de Cures;72240;Domfront-en-Champagne;48.105116;0.024176;0.95
DP07211921Z0313-2;7;;RUE DE CURES;72240;DOMFRONT EN CHAMPAGNE;7;Rue de Cures;72240;Domfront-en-Champagne;48.105116;0.024176;0.95
DP07211921Z0315-0;8;;LE CHAMP DE LA CROIX;72240;DOMFRONT EN CHAMPAGNE;;Le Champ de la Croix;72240;Domfront-en-Champagne;48.106892;0.055932;0.9
DP07211921Z0315-2;8;;LE CHAMP DE LA CROIX;72240;DOMFRONT EN CHAMPAGNE;;Le Champ de la Croix;72240;Domfront-en-Champagne;48.106892;0.055932;0.9
DP07211921Z0316-2;;;LA BROSSERIE;72240;DOMFRONT EN CHAMPAGNE;;La Poterie;72240;Domfront-en-Champagne;48.10069;0.043528;0.69
DP07212421Z0058-0;;;FONTENAILLES;72220;ECOMMOY;;Route de Fontenailles;72220;Écommoy;47.811877;0.285097;0.66
DP07212421Z0058-2;;;FONTENAILLE;72220;ECOMMOY;;Route de Fontenailles;72220;Écommoy;47.811877;0.285097;0.63
DP07212421Z0061-0;35;ROUTE;DU MANS;72220;ECOMMOY;35;Route du Mans;72220;Écommoy;47.832187;0.269358;0.96
DP07212421Z0061-2;35;;ROUTE DU MANS;72220;ECOMMOY;35;Route du Mans;72220;Écommoy;47.832187;0.269358;0.96
DP07212421Z0066-0;2;RUE;MONTE CRISTO;72220;ECOMMOY;2;Rue de Monte Christo;72220;Écommoy;47.830551;0.283468;0.78
DP07212421Z0066-2;2;;RUE MONTE CRISTO;72220;ECOMMOY;2;Rue de Monte Christo;72220;Écommoy;47.830551;0.283468;0.78
DP07212421Z0069-0;;LIEU-;LES PETITES LANDES;72510;CHATEAU L'HERMITAGE;;Les Petites Landes;72510;Château-l'Hermitage;47.809837;0.205673;0.82
DP07212421Z0069-1;74;AVENU;DU GENERAL DE GAULLE;72000;LE MANS;74;Avenue du Général de Gaulle;72000;Le Mans;48.004216;0.19812;0.91
DP07212421Z0069-2;61;;ROUTE DE TOURS;72220;ECOMMOY;61;Route de Tours;72220;Écommoy;47.824665;0.287672;0.96
DP07212421Z0070-0;23;RUE;LAUGIER;75017;PARIS;23;Rue Laugier;75017;Paris;48.880753;2.296012;0.98
DP07212421Z0070-2;1;;IMPASSE DES GENETS;72220;ECOMMOY;1;Impasse des Genêts;72220;Écommoy;47.829869;0.284525;0.95
DP07212421Z0072-0;158;AVENU;BOLLEEE;72019;LE MANS;;;;;;;
DP07212421Z0072-2;44;;RUE DU MANEGE;72220;ECOMMOY;44;Rue du Manège;72220;Écommoy;47.821416;0.278922;0.96
DP07212421Z0073-0;;LIEU-;LOIRECOPARK;72500;VAAS;;Loirecopark 1;72500;Vaas;47.679225;0.298837;0.65
DP07212421Z0073-2;;;LE VERGER;72220;ECOMMOY;;Rue de Verdun;72220;Écommoy;47.831078;0.275;0.44
DP07212421Z0074-0;;;FONTENAILLES;72220;ECOMMOY;;Route de Fontenailles;72220;Écommoy;47.811877;0.285097;0.66
DP07212421Z0074-2;;;FONTENAILLE;72220;ECOMMOY;;Route de Fontenailles;72220;Écommoy;47.811877;0.285097;0.63
DP07212421Z0075-0;38;RUE;DE LA CHRISTOPHLERE;72220;ECOMMOY;38;Rue de la Christophlere;72220;Écommoy;47.82977;0.288104;0.96
DP07212421Z0075-1;74;AVENU;DU GENERAL DE GAULLE;72000;LE MANS;74;Avenue du Général de Gaulle;72000;Le Mans;48.004216;0.19812;0.91
DP07212421Z0075-2;42;;RUE DE LA CHRISTOPHLERE;72220;ECOMMOY;42;Rue de la Christophlere;72220;Écommoy;47.830201;0.288647;0.96
DP07212421Z0076-0;3;RUE;DES MENESTRIERS;72220;ECOMMOY;3;Rue des Menestriers;72220;Écommoy;47.832602;0.274662;0.95
DP07212421Z0076-2;3;;RUE DES MENESTRIERS;72220;ECOMMOY;3;Rue des Menestriers;72220;Écommoy;47.832602;0.274662;0.95
DP07212421Z0077-0;15;RUE;DU 11 NOVEMBRE;72220;SAINT-MARS-D'OUTILLE;15;Rue du 11 Novembre;72220;Saint-Mars-d'Outillé;47.871233;0.328309;0.95
DP07212421Z0077-2;;;LE LIZARDIER;72220;ECOMMOY;;Rue Garnier;72220;Écommoy;47.821816;0.269981;0.49
DP07212421Z0078-0;83;ROUTE;DE TOURS;72220;ECOMMOY;83;Route de Tours;72220;Écommoy;47.824401;0.288241;0.96
DP07212421Z0078-2;83;;ROUTE DE TOURS;72220;ECOMMOY;83;Route de Tours;72220;Écommoy;47.824401;0.288241;0.96
DP07212421Z0079-0;17;PLACE;DE LA REPUBLIQUE;72220;ECOMMOY;17;Place de la République;72220;Écommoy;47.828847;0.27394;0.96
DP07212421Z0079-2;17;;PLACE DE LA REPUBLIQUE;72220;ECOMMOY;17;Place de la République;72220;Écommoy;47.828847;0.27394;0.96
DP07212421Z0080-0;158;AVENU;BOLLEE - CS 81933;72019;LE MANS;;;;;;;
DP07212421Z0080-2;19;RUE;DU GENERAL LECLERC;72220;ECOMMOY;19;Rue du General Leclerc;72220;Écommoy;47.82665;0.272183;0.96
DP07212421Z0081-0;19 BI;ROUTE;DES RENAUDES;72230;MONCE EN BELIN;19;Route des Renaudes;72230;Moncé-en-Belin;47.889002;0.203057;0.89
DP07212421Z0081-2;9;;RUE DU DOCTEUR ESTRABAUD;72220;ECOMMOY;9;Rue du Docteur Estrabaud;72220;Écommoy;47.828399;0.27423;0.96
DP07212421Z0082-0;;PLACE;DU GENERAL DE GAULLE;72220;ECOMMOY;;Place du General de Gaulle;72220;Écommoy;47.828067;0.273952;0.95
DP07212421Z0082-2;4;;PLACE DU GENERAL DE GAULLE;72220;ECOMMOY;4;Place du General de Gaulle;72220;Écommoy;47.828067;0.273952;0.95
DP07212421Z0083-0;12;ROUTE;DE TOURS;72220;ECOMMOY;12;Route de Tours;72220;Écommoy;47.827068;0.281322;0.96
DP07212421Z0083-1;7;RUE;DE BELLE ILE;72190;COULAINES;7;Rue de Belle-Ile;72190;Coulaines;48.027279;0.199344;0.96
DP07212421Z0083-2;12;;ROUTE DE TOURS;72220;ECOMMOY;12;Route de Tours;72220;Écommoy;47.827068;0.281322;0.96
DP07212921Z0011-0;60;CHEMI;des reinettes;72470;Fatines;60;Chemin des Reinettes;72470;Fatines;48.047507;0.330901;0.86
DP07212921Z0011-2;60;CHEMI;des reinettes;72470;FATINES;60;Chemin des Reinettes;72470;Fatines;48.047507;0.330901;0.86
DP07212921Z0019-0;2;RUE;Germain Pillon;72000;Le Mans;2;Rue Germain Pilon;72000;Le Mans;48.012156;0.202205;0.93
DP07212921Z0019-2;85;ROUTE;DE LA FROMENTINIERE;72470;FATINES;;Route de la Fromentiniere;72470;Fatines;48.043123;0.327985;0.87
DP07212921Z0022-0;26;RUE;Des Chênes;72470;Fatines;26;Rue des Chênes;72470;Fatines;48.044005;0.344239;0.95
DP07212921Z0022-2;26;RUE;Des Chênes;72470;FATINES;26;Rue des Chênes;72470;Fatines;48.044005;0.344239;0.95
DP07212921Z0023-0;7;RUE;DE CHAMPAGNE;72470;FATINES;7;Rue de Champagné;72470;Fatines;48.045395;0.349198;0.95
DP07212921Z0023-2;7;;RUE DE CHAMPAGNE;72470;FATINES;7;Rue de Champagné;72470;Fatines;48.045395;0.349198;0.95
DP07213921Z0011-0;99;;RUE DU MOULIN DES LANDES;44980;SAINTE LUCE SUR LOIRE;99;Rue du Moulin des Landes;44980;Sainte-Luce-sur-Loire;47.264728;-1.483528;0.97
DP07213921Z0011-2;4;;RUE DU MOULIN NEUF;72610;FYE;4;Rue du Moulin Neuf;72610;Fyé;48.323694;0.081994;0.95
DP07213921Z0012-0;1;;Les Aigrefins;72610;FYE;1;Lieu Dit les Aigrefins;72610;Fyé;48.335972;0.062365;0.64
DP07213921Z0012-2;;;AIGREFIN;72610;FYE;;Lieu Dit les Aigrefins;72610;Fyé;48.335879;0.062277;0.38
DP07213921Z0013-0;6bis;;Rue Charles Perrault;72610;FYE;6bis;Rue Charles Perrault;72610;Fyé;48.325064;0.078385;0.95
DP07213921Z0013-2;6bis;;Rue Charles Perrault;72610;FYE;6bis;Rue Charles Perrault;72610;Fyé;48.325064;0.078385;0.95
DP07213921Z0014-2;;;LE BOULAY;72610;FYE;;Le Haut Boulay;72610;Fyé;48.334118;0.070284;0.67
DP07214321Z0023-0;5;IMPAS;des Farineaux;72150;LE GRAND-LUCÉ;5;Impasse des Farineaux;72150;Le Grand-Lucé;47.866252;0.472858;0.85
DP07214321Z0023-2;5;;IMPASSE DES FARINEAUX;72150;LE GRAND LUCE;5;Impasse des Farineaux;72150;Le Grand-Lucé;47.866252;0.472858;0.95
DP07214321Z0025-0;6;RUE;SAINT-ANNE;72150;LE GRAND-LUCÉ;6;Rue Sainte Anne;72150;Le Grand-Lucé;47.865327;0.466001;0.86
DP07214321Z0025-2;6;;RUE SAINTE ANNE;72150;LE GRAND LUCE;6;Rue Sainte Anne;72150;Le Grand-Lucé;47.865327;0.466001;0.95
